,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
600,Not Available,Not Available,50-99,Distributor,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.ihi-turbo.com/about.htm"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.ihi-turbo.com/about.htm"" data-cert_id=""331231"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10076175"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365602"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.ihi-turbo.com/about.htm"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.ihi-turbo.com/about.htm"" data-cert_id=""331232"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10076175"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365602"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,Not Available'},Ihi Turbo America,https://www.ihi-turbo.com/,"Manufacturer, Custom Manufacturer",,,,,,,,,,,,,
601,$5 - 9.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1968'},Pena-Plas Co.,https://www.penaplas.com/site2/,"Distributor, Manufacturer, Finishing Service Company",,,,,,,,,,,,,
602,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,2001'},"Cabral Irrigation, Inc.",http://cabralirrigation.com/,,,,,,,,,,,,,,
603,Not Available,Not Available,Not Available,Custom Manufacturer,Not Available,Not Available,Not Available'},Landscape by Hiro,https://www.landscapebyhiro.com,,,,,,,,,,,,,,
604,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1970'},Big John MFG,http://www.bigjohnmfg.com,,,,,,,,,,,,,,
605,$10 - 24.9 Mil,"Amy Lewis, Sales Executive",10-49,Manufacturer,Not Available,Not Available,1905'},Crispin Valves,https://crispinvalve.com/,Custom Manufacturer,,,,,,,,,,,,,
606,$50 - 99.9 Mil,,100-199,,Not Available,Not Available,1882'},Mitchell Lewis & Staver Co.,http://www.mitchellewis.com,,,,,,,,,,,,,,
607,Under $1 Mil,,10-49,,Not Available,Not Available,2008'},Eco1st Technology Group,http://www.eco1st.com,,,,,,,,,,,,,,
608,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},"Green Saver, Inc.",http://www.greensaverwater.com,,,,,,,,,,,,,,
609,Not Available,"Joe Muphy, Marketing",Not Available,Distributor,Not Available,Not Available,Not Available'},Aquatech Dewatering and Pumping Technologies Inc.,http://aquatechpumping.com/,Service Company,,,,,,,,,,,,,
610,$1 - 4.9 Mil,Not Available,200-499,Custom Manufacturer,Not Available,Not Available,1955'},T-L Irrigation Company,https://www.tlirr.com/,,,,,,,,,,,,,,
611,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Meras Engineering, Inc.",https://www.meras.com/,,,,,,,,,,,,,,
612,Under $1 Mil,Not Available,1-9,Turnkey Systems Integrator,Not Available,Not Available,2004'},Billings Irrigation,http://www.billingsirrigation.com,"Manufacturer, Service Company",,,,,,,,,,,,,
613,$5 - 9.9 Mil,,10-49,,Not Available,Not Available,1978'},Everfilt,https://everfilt.com/,,,,,,,,,,,,,,
614,Not Available,"Brad Dassow, Owner",Not Available,Service Company,Not Available,Not Available,Not Available'},Elkhart Irrigation,https://www.elkhartirrigation.com/,Turnkey Systems Integrator,,,,,,,,,,,,,
615,Under $1 Mil,Not Available,1-9,Service Company,Not Available,Not Available,2007'},"H2eco, Inc.",https://www.h2ecolandscape.com/,Manufacturer,,,,,,,,,,,,,
616,$5 - 9.9 Mil,"Terry Mann, Pres.",10-49,Manufacturer,Not Available,Not Available,1961'},Rainbow Manufacturing Co.,http://www.rainbowirrigation.com,Service Company,,,,,,,,,,,,,
617,Not Available,,Not Available,,,,Not Available'},Schneider Electric,https://www.se.com/us/en/,,,,,,,,,,,,,,
618,$25 - 49.9 Mil,"Harman Kaur, Marketing Mgr.</li><li>M. Gilpin, Inside Sales",50-99,Manufacturer,Not Available,Not Available,1932'},Rough Brothers,http://www.roughbros.com/,"Distributor, Custom Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
619,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Northgate Technologies, Inc.",https://www.northgate-tech.com/,,,,,,,,,,,,,,
620,Under $1 Mil,Not Available,1-9,Service Company,Not Available,Not Available,2009'},Pearson Sprinkler Company,https://www.pearsonsprinkler.com/,,,,,,,,,,,,,,
621,Not Available,"Jim Hester, Owner and CEO",Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},"Highland Waterworks, Inc.",http://highlandwaterworks.com/,,,,,,,,,,,,,,
622,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1982'},Griswold,http://www.psgdover.com/en/griswold/home,,,,,,,,,,,,,,
623,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},Basnight Land & Lawn,https://www.commercialgroundsmanagement.com/,Turnkey Systems Integrator,,,,,,,,,,,,,
624,Under $1 Mil,Not Available,1-9,Service Company,Not Available,Not Available,2010'},Lesaca Landscape Co.,http://www.lesacalandscape.com,,,,,,,,,,,,,,
625,$10 - 24.9 Mil,,1000+,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=41365602&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10014916&amp;certid=391361"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=41365602&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10014916&amp;certid=391361"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=41365602&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10014916&amp;certid=289173"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=41365602&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10014916&amp;certid=289173"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,1959'},"Fluid Metering, Inc.",http://fluidmetering.com/,,,,,,,,,,,,,,
626,Not Available,Not Available,50-99,Manufacturer,Not Available,Not Available,1985'},"Dexter Fortson Associates, Inc.",http://www.dfa-inc.com,"Service Company, Turnkey Systems Integrator",,,,,,,,,,,,,
627,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1999'},Sustainable Technologies,http://sustech.cc/wordpress/,Service Company,,,,,,,,,,,,,
628,$250 Mil. and over,Not Available,1000+,,Not Available,Not Available,1890'},Emerson Electric Co.,http://www.emerson.com/en-us,,,,,,,,,,,,,,
629,Under $1 Mil,Not Available,1-9,Turnkey Systems Integrator,Not Available,Not Available,1999'},Alpha Advantage,http://alpha-advantage.com,Service Company,,,,,,,,,,,,,
630,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1995'},H2O Applied Technologies,http://h2oappliedtech.com/,Service Company,,,,,,,,,,,,,
631,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Williston Companies,http://www.willistoncompanies.com,,,,,,,,,,,,,,
632,Under $1 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1972'},Aurora Hills Landscaping LLC,http://www.aurorahillsfarm.com,"Distributor, Manufacturer",,,,,,,,,,,,,
633,$25 - 49.9 Mil,Not Available,200-499,,Not Available,Not Available,1970'},"Nds, Inc.",https://www.ndspro.com/,,,,,,,,,,,,,,
634,$25 - 49.9 Mil,Not Available,100-199,Manufacturer,Not Available,Not Available,1957'},"Kroy Industries, Inc.",http://www.kroyind.com,Custom Manufacturer,,,,,,,,,,,,,
635,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1984'},Haley Manufacturing,https://www.haleymfg.com,"Distributor, Custom Manufacturer",,,,,,,,,,,,,
636,Under $1 Mil,"Kim Martinez, Owner",10-49,Distributor,Not Available,Not Available,1978'},Basin Pump & Supply Co.,https://basinpump.com/,Service Company,,,,,,,,,,,,,
637,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1948'},"Florida Pump Service, Inc.",http://www.floridapumpservice.com,Service Company,,,,,,,,,,,,,
638,$25 - 49.9 Mil,,50-99,,Not Available,Not Available,1979'},"Green Leaf, Inc.",https://green-leaf.us/,,,,,,,,,,,,,,
639,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},Dave's Grounds Maintenance Inc.,http://www.davesgrounds.com,Turnkey Systems Integrator,,,,,,,,,,,,,
640,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Victoria Garden Sprinklers,https://www.victoriagardensprinklers.ca/,,,,,,,,,,,,,,
641,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,2000'},"JPA Landscape & Construction, Inc.",http://jpalandscape.com/,,,,,,,,,,,,,,
642,$1 - 4.9 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2007'},"Advanced Mechanical Technologies, Inc",http://www.amechtech.com,,,,,,,,,,,,,,
643,Not Available,,Not Available,,Not Available,Not Available,Not Available'},"Hydro-Tech Irrigation, Co.",https://htiva.com/,,,,,,,,,,,,,,
644,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1986'},"Orival, Inc.",http://www.orival.com,"Distributor, Custom Manufacturer, Service Company",,,,,,,,,,,,,
645,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},Novation Landscapes & Irrigation,https://novationlandscapes.com/,Turnkey Systems Integrator,,,,,,,,,,,,,
646,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1958'},Stang Industries Inc.,https://www.stangindustries.com/,"Distributor, Custom Manufacturer, Service Company",,,,,,,,,,,,,
647,$5 - 9.9 Mil,"Yigal Elbaz, V.P., Sales",10-49,Manufacturer,Not Available,Not Available,1980'},"Superflex, Ltd.",https://superflex.com/,Custom Manufacturer,,,,,,,,,,,,,
648,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},Montoya's Landscaping,Failed,,Not Available,,,,,,,,,,,,
649,Not Available,,Not Available,Distributor,Not Available,Not Available,1947'},Denver Brass,Failed,,Not Available,,,,,,,,,,Not Available,,
650,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1960'},Silver State Plastics,Failed,"Custom Manufacturer, Finishing Service Company",Not Available,,,,,,,,,,,,
651,Under $1 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1982'},"Jade Agritech, LLC",Failed,"Distributor, Manufacturer",Not Available,,,,,,,,,,,,
652,Not Available,,Not Available,,Not Available,Not Available,Not Available'},"PRIORITY TURF, INC.",https://priorityturf.com/,,,,,,,,,,,,,,
653,Under $1 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,Not Available'},TimberTanks America,https://waterstoragetanksinc.com/water-tank-models/timbertanks-and-tinytimbers/,,,,,,,,,,,,,,
654,$1 - 4.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,1989'},"Pro Rain Irrigation Sevices, Inc.",Http://www.prorainirrigation.com,,,,,,,,,,,,,,
655,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1985'},Antelco Corporation/Antelco PTY LTD,https://www.antelco.com/,Service Company,,,,,,,,,,,,,
656,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1986'},Etgage Co.,http://www.etgage.com,,,,,,,,,,,,,,
657,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,Not Available'},"Kifco, Inc.",https://www.kifco.com/Default.aspx,,,,,,,,,,,,,,
658,$1 - 4.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1973'},Trickl-Eez,http://www.trickl-eez.com,,,,,,,,,,,,,,
659,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},CCS Sprinkler,http://ccssprinkler.com/,,,,,,,,,,,,,,
660,$1 - 4.9 Mil,"Patrick Tuffield, Sales Mgr.",10-49,Distributor,Not Available,Not Available,1972'},"Hydro-Gardens, Inc.",https://hydro-gardens.com/,,,,,,,,,,,,,,
661,$10 - 24.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1988'},"King Innovation, Inc",https://www.kinginnovation.com/,,,,,,,,,,,,,,
662,$1 - 4.9 Mil,Not Available,10-49,Service Company,Not Available,Not Available,2003'},"Interestate Enterprises, Inc.",http://www.interstateenterprises.com,,,,,,,,,,,,,,
663,$10 - 24.9 Mil,Not Available,100-199,Manufacturer,Not Available,Not Available,1963'},Amadas Industries,https://amadas.com/,Service Company,,,,,,,,,,,,,
664,Not Available,Not Available,Not Available,Custom Manufacturer,Not Available,Not Available,Not Available'},Irrigation Doc's LLC,https://www.irrigationdocsfl.com,Service Company,,,,,,,,,,,,,
665,$5 - 9.9 Mil,Not Available,10-49,,Not Available,Not Available,1965'},Munro,https://www.munropump.com/Home,,,,,,,,,,,,,,
666,$1 - 4.9 Mil,Not Available,50-99,Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_3rd_party.png"" title=""3rd Party Sourced"" alt=""3rd Party Sourced""></td><td><a href=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=071486851"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=071486851"" data-cert_id=""336554"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30248197"" data-conversion_action=""3rd Party Sourced Certification"" data-coverage_area=""NA"" data-heading=""41365602"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""3rd_Party_Sourced"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.ringdale.com/products/st/asp/id.694/po.2/en/print.htm"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.ringdale.com/products/st/asp/id.694/po.2/en/print.htm"" data-cert_id=""186760"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30248197"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365602"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.ringdale.com/aboutus/Policy_Environment.asp"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.ringdale.com/aboutus/Policy_Environment.asp"" data-cert_id=""186766"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30248197"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365602"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n</tbody></table>",1988'},"Ringdale, Inc.",http://www.ringdale.com,,,,,,,,,,,,,,
667,$50 - 99.9 Mil,Not Available,200-499,,Not Available,Not Available,1933'},Rain Bird Corporation,https://www.rainbird.com/,,,,,,,,,,,,,,
668,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,2004'},"Orchard Valley Supply, Inc.",https://www.orchardvalleysupply.com/,,,,,,,,,,,,,,
669,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1995'},Diversity D Inc,http://www.diversityd.com/,"Manufacturer, Service Company",,,,,,,,,,,,,
670,Under $1 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1974'},Morris & Bergen County Irrigation,https://www.mcibci.com/,Service Company,,,,,,,,,,,,,
671,Not Available,Not Available,Not Available,Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9001 (Not Specified)</td></tr>\n</tbody></table>",Not Available,Not Available'},"Toro Co., Irrigation Division, The",https://www.irritrol.com/,,,,,,,,,,,,,,
672,$5 - 9.9 Mil,"Philip Flinn, Sales Mgr.",10-49,Manufacturer,Not Available,Not Available,1995'},Corbin Steel Products,http://www.corbinsteel.com,Distributor,,,,,,,,,,,,,
673,Not Available,Not Available,Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},"Pfister Sprinkler Systems, Inc.",https://www.pfistersprinklers.com/,,,,,,,,,,,,,,
674,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"WaterBit, Inc.",https://www.waterbit.com/,,,,,,,,,,,,,,
675,$1 - 4.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1975'},Moore Sprinkler Company,http://www.mooresprinklercompany.com/,Service Company,,,,,,,,,,,,,
676,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1962'},"Fimco Manufacturing, Inc.",https://www.fimcomfg.com/,,,,,,,,,,,,,,
677,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1990'},Zerowet,http://www.zerowet.com,,,,,,,,,,,,,,
678,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1962'},Amiad Corp.,http://www.amiad.com,"Distributor, Service Company",,,,,,,,,,,,,
679,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1972'},21st Century Equipment,https://www.21stcenturyequipment.net/,Manufacturer,,,,,,,,,,,,,
680,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1982'},Priva,http://www.priva.ca,,,,,,,,,,,,,,
